name	version	license
@marijn/find-cluster-break	1.0.4	MIT
@mermaid-js/parser	1.2.1	MIT
@napi-rs/lzma-linux-x64-gnu	1.5.1	MIT
@radix-ui/number	1.1.3	MIT
@radix-ui/primitive	1.1.7	MIT
@radix-ui/react-compose-refs	1.1.5	MIT
@radix-ui/react-context	1.2.2	MIT
@radix-ui/react-direction	1.1.4	MIT
@radix-ui/react-presence	1.1.10	MIT
@radix-ui/react-primitive	2.1.10	MIT
@radix-ui/react-scroll-area	1.2.18	MIT
@radix-ui/react-slot	1.3.3	MIT
@radix-ui/react-use-callback-ref	1.1.4	MIT
@radix-ui/react-use-layout-effect	1.1.4	MIT
@rolldown/pluginutils	1.0.0-rc.3	MIT
@rollup/rollup-android-arm-eabi	4.63.1	MIT
@rollup/rollup-android-arm64	4.63.1	MIT
@rollup/rollup-darwin-arm64	4.63.1	MIT
@rollup/rollup-darwin-x64	4.63.1	MIT
@rollup/rollup-freebsd-arm64	4.63.1	MIT
@rollup/rollup-freebsd-x64	4.63.1	MIT
@rollup/rollup-linux-arm-gnueabihf	4.63.1	MIT
@rollup/rollup-linux-arm-musleabihf	4.63.1	MIT
@rollup/rollup-linux-arm64-gnu	4.63.1	MIT
@rollup/rollup-linux-arm64-musl	4.63.1	MIT
@rollup/rollup-linux-loong64-gnu	4.63.1	MIT
@rollup/rollup-linux-loong64-musl	4.63.1	MIT
@rollup/rollup-linux-ppc64-gnu	4.63.1	MIT
@rollup/rollup-linux-ppc64-musl	4.63.1	MIT
@rollup/rollup-linux-riscv64-gnu	4.63.1	MIT
@rollup/rollup-linux-riscv64-musl	4.63.1	MIT
@rollup/rollup-linux-s390x-gnu	4.63.1	MIT
@rollup/rollup-linux-x64-gnu	4.63.1	MIT
@rollup/rollup-linux-x64-musl	4.63.1	MIT
@rollup/rollup-openbsd-x64	4.63.1	MIT
@rollup/rollup-openharmony-arm64	4.63.1	MIT
@rollup/rollup-win32-arm64-msvc	4.63.1	MIT
@rollup/rollup-win32-ia32-msvc	4.63.1	MIT
@rollup/rollup-win32-x64-gnu	4.63.1	MIT
@rollup/rollup-win32-x64-msvc	4.63.1	MIT
@shikijs/core	3.23.0	MIT
@shikijs/engine-javascript	3.23.0	MIT
@shikijs/engine-oniguruma	3.23.0	MIT
@shikijs/langs	3.23.0	MIT
@shikijs/themes	3.23.0	MIT
@shikijs/types	3.23.0	MIT
@shikijs/vscode-textmate	10.0.2	MIT
@tailwindcss/node	4.3.3	MIT
@tailwindcss/oxide	4.3.3	MIT
@tailwindcss/oxide-android-arm64	4.3.3	MIT
@tailwindcss/oxide-darwin-arm64	4.3.3	MIT
@tailwindcss/oxide-darwin-x64	4.3.3	MIT
@tailwindcss/oxide-freebsd-x64	4.3.3	MIT
@tailwindcss/oxide-linux-arm-gnueabihf	4.3.3	MIT
@tailwindcss/oxide-linux-arm64-gnu	4.3.3	MIT
@tailwindcss/oxide-linux-arm64-musl	4.3.3	MIT
@tailwindcss/oxide-linux-x64-gnu	4.3.3	MIT
@tailwindcss/oxide-linux-x64-musl	4.3.3	MIT
@tailwindcss/oxide-wasm32-wasi	4.3.3	MIT
@tailwindcss/oxide-wasm32-wasi/node_modules/@emnapi/core	1.11.1	MIT
@tailwindcss/oxide-wasm32-wasi/node_modules/@emnapi/runtime	1.11.1	MIT
@tailwindcss/oxide-wasm32-wasi/node_modules/@emnapi/wasi-threads	1.2.2	MIT
@tailwindcss/oxide-wasm32-wasi/node_modules/@napi-rs/wasm-runtime	1.1.4	MIT
@tailwindcss/oxide-wasm32-wasi/node_modules/@tybys/wasm-util	0.10.2	MIT
@tailwindcss/oxide-wasm32-wasi/node_modules/tslib	2.8.1	0BSD
@tailwindcss/oxide-win32-arm64-msvc	4.3.3	MIT
@tailwindcss/oxide-win32-x64-msvc	4.3.3	MIT
@tailwindcss/typography	0.5.20	MIT
@tailwindcss/vite	4.3.3	MIT
@types/babel__core	7.20.5	MIT
@types/babel__generator	7.27.0	MIT
@types/babel__template	7.4.4	MIT
@types/babel__traverse	7.28.0	MIT
@types/chai	5.2.3	MIT
@types/d3	7.4.3	MIT
@types/d3-array	3.2.2	MIT
@types/d3-axis	3.0.6	MIT
@types/d3-brush	3.0.6	MIT
@types/d3-chord	3.0.6	MIT
@types/d3-color	3.1.3	MIT
@types/d3-contour	3.0.6	MIT
@types/d3-delaunay	6.0.4	MIT
@types/d3-dispatch	3.0.7	MIT
@types/d3-drag	3.0.7	MIT
@types/d3-dsv	3.0.7	MIT
@types/d3-ease	3.0.2	MIT
@types/d3-fetch	3.0.7	MIT
@types/d3-force	3.0.10	MIT
@types/d3-format	3.0.4	MIT
@types/d3-geo	3.1.1	MIT
@types/d3-hierarchy	3.1.7	MIT
@types/d3-interpolate	3.0.4	MIT
@types/d3-path	3.1.1	MIT
@types/d3-polygon	3.0.2	MIT
@types/d3-quadtree	3.0.6	MIT
@types/d3-random	3.0.4	MIT
@types/d3-scale	4.0.9	MIT
@types/d3-scale-chromatic	3.1.0	MIT
@types/d3-selection	3.0.11	MIT
@types/d3-shape	3.2.0	MIT
@types/d3-time	3.0.4	MIT
@types/d3-time-format	4.0.3	MIT
@types/d3-timer	3.0.2	MIT
@types/d3-transition	3.0.9	MIT
@types/d3-zoom	3.0.8	MIT
@types/debug	4.1.13	MIT
@types/deep-eql	4.0.2	MIT
@types/estree	1.0.9	MIT
@types/estree-jsx	1.0.5	MIT
@types/geojson	7946.0.16	MIT
@types/hast	3.0.5	MIT
@types/json-schema	7.0.15	MIT
@types/katex	0.16.8	MIT
@types/mdast	4.0.4	MIT
@types/ms	2.1.0	MIT
@types/react	19.2.18	MIT
@types/react-dom	19.2.5	MIT
@types/trusted-types	2.0.7	MIT
@types/unist	3.0.3	MIT
@uiw/codemirror-extensions-basic-setup	4.25.11	MIT
@uiw/codemirror-theme-github	4.25.11	MIT
@uiw/codemirror-themes	4.25.11	MIT
@uiw/react-codemirror	4.25.11	MIT
@ungap/structured-clone	1.4.0	ISC
@upsetjs/venn.js	2.0.0	MIT
@vitejs/plugin-react	5.2.0	MIT
@vitest/expect	3.2.7	MIT
@vitest/mocker	3.2.7	MIT
@vitest/pretty-format	3.2.7	MIT
@vitest/runner	3.2.7	MIT
@vitest/snapshot	3.2.7	MIT
@vitest/spy	3.2.7	MIT
@vitest/utils	3.2.7	MIT
@xyflow/react	12.11.5	MIT
@xyflow/react/node_modules/zustand	4.5.7	MIT
@xyflow/system	0.0.81	MIT
acorn	8.18.0	MIT
acorn-jsx	5.3.2	MIT
agent-base	7.1.4	MIT
ajv	6.15.0	MIT
ansi-styles	4.3.0	MIT
argparse	2.0.1	Python-2.0
assertion-error	2.0.1	MIT
asynckit	0.4.0	MIT
autoprefixer	10.5.4	MIT
bail	2.0.2	MIT
balanced-match	1.0.2	MIT
baseline-browser-mapping	2.11.20	Apache-2.0
brace-expansion	1.1.18	MIT
browserslist	4.28.8	MIT
cac	6.7.14	MIT
call-bind-apply-helpers	1.0.2	MIT
callsites	3.1.0	MIT
caniuse-lite	1.0.30001810	CC-BY-4.0
ccount	2.0.1	MIT
chai	5.3.3	MIT
chalk	4.1.2	MIT
character-entities	2.0.2	MIT
character-entities-html4	2.1.0	MIT
character-entities-legacy	3.0.0	MIT
character-reference-invalid	2.0.1	MIT
check-error	2.1.3	MIT
class-variance-authority	0.7.1	Apache-2.0
classcat	5.0.5	MIT
clsx	2.1.1	MIT
codemirror	6.0.2	MIT
color-convert	2.0.1	MIT
color-name	1.1.4	MIT
combined-stream	1.0.8	MIT
comma-separated-tokens	2.0.3	MIT
commander	8.3.0	MIT
concat-map	0.0.1	MIT
convert-source-map	2.0.0	MIT
cookie	1.1.1	MIT
cose-base	1.0.3	MIT
crelt	1.0.7	MIT
cross-spawn	7.0.6	MIT
cssesc	3.0.0	MIT
cssstyle	4.6.0	MIT
cssstyle/node_modules/rrweb-cssom	0.8.0	MIT
csstype	3.2.3	MIT
cytoscape	3.34.2	MIT
cytoscape-cose-bilkent	4.1.0	MIT
cytoscape-fcose	2.2.0	MIT
cytoscape-fcose/node_modules/cose-base	2.2.0	MIT
cytoscape-fcose/node_modules/layout-base	2.0.1	MIT
d3	7.9.0	ISC
d3-array	3.2.4	ISC
d3-axis	3.0.0	ISC
d3-brush	3.0.0	ISC
d3-chord	3.0.1	ISC
d3-color	3.1.0	ISC
d3-contour	4.0.2	ISC
d3-delaunay	6.0.4	ISC
d3-dispatch	3.0.1	ISC
d3-drag	3.0.0	ISC
d3-dsv	3.0.1	ISC
d3-dsv/node_modules/commander	7.2.0	MIT
d3-ease	3.0.1	BSD-3-Clause
d3-fetch	3.0.1	ISC
d3-force	3.0.0	ISC
d3-format	3.1.2	ISC
d3-geo	3.1.1	ISC
d3-hierarchy	3.1.2	ISC
d3-interpolate	3.0.1	ISC
d3-path	3.1.0	ISC
d3-polygon	3.0.1	ISC
d3-quadtree	3.0.1	ISC
d3-random	3.0.1	ISC
d3-sankey	0.12.3	BSD-3-Clause
d3-sankey/node_modules/d3-array	2.12.1	BSD-3-Clause
d3-sankey/node_modules/d3-path	1.0.9	BSD-3-Clause
d3-sankey/node_modules/d3-shape	1.3.7	BSD-3-Clause
d3-sankey/node_modules/internmap	1.0.1	ISC
d3-scale	4.0.2	ISC
d3-scale-chromatic	3.1.0	ISC
d3-selection	3.0.0	ISC
d3-shape	3.2.0	ISC
d3-time	3.1.0	ISC
d3-time-format	4.1.0	ISC
d3-timer	3.0.1	ISC
d3-transition	3.0.1	ISC
d3-zoom	3.0.0	ISC
dagre-d3-es	7.0.14	MIT
data-urls	5.0.0	MIT
dayjs	1.11.23	MIT
debug	4.4.3	MIT
decimal.js	10.6.0	MIT
decode-named-character-reference	1.3.0	MIT
deep-eql	5.0.2	MIT
deep-is	0.1.4	MIT
delaunator	5.1.0	ISC
delayed-stream	1.0.0	MIT
dequal	2.0.3	MIT
detect-libc	2.1.2	Apache-2.0
devlop	1.1.0	MIT
dompurify	3.4.14	(MPL-2.0 OR Apache-2.0)
dunder-proto	1.0.1	MIT
electron-to-chromium	1.5.416	ISC
emoji-picker-react	4.19.1	MIT
enhanced-resolve	5.24.5	MIT
entities	6.0.1	BSD-2-Clause
es-define-property	1.0.1	MIT
es-errors	1.3.0	MIT
es-module-lexer	1.7.0	MIT
es-object-atoms	1.1.2	MIT
es-set-tostringtag	2.1.0	MIT
es-toolkit	1.52.0	MIT
esbuild	0.28.2	MIT
escalade	3.2.0	MIT
escape-string-regexp	4.0.0	MIT
eslint	9.39.5	MIT
eslint-plugin-react-hooks	7.1.1	MIT
eslint-plugin-react-refresh	0.4.26	MIT
eslint-scope	8.4.0	BSD-2-Clause
eslint-visitor-keys	4.2.1	Apache-2.0
espree	10.4.0	BSD-2-Clause
esquery	1.7.0	BSD-3-Clause
esrecurse	4.3.0	BSD-2-Clause
estraverse	5.3.0	BSD-2-Clause
estree-util-is-identifier-name	3.0.0	MIT
estree-walker	3.0.3	MIT
esutils	2.0.3	BSD-2-Clause
expect-type	1.4.0	Apache-2.0
extend	3.0.2	MIT
fast-deep-equal	3.1.3	MIT
fast-json-stable-stringify	2.1.0	MIT
fast-levenshtein	2.0.6	MIT
fastdom	1.0.12	MIT
fdir	6.5.0	MIT
file-entry-cache	8.0.0	MIT
find-up	5.0.0	MIT
flairup	1.0.0	MIT
flat-cache	4.0.1	MIT
flatted	3.4.4	ISC
form-data	4.0.6	MIT
fraction.js	5.3.4	MIT
framer-motion	12.43.0	MIT
fsevents	2.3.3	MIT
function-bind	1.1.2	MIT
gensync	1.0.0-beta.2	MIT
get-intrinsic	1.3.0	MIT
get-proto	1.0.1	MIT
glob-parent	6.0.2	ISC
globals	16.5.0	MIT
gopd	1.2.0	MIT
graceful-fs	4.2.11	ISC
hachure-fill	0.5.2	MIT
has-flag	4.0.0	MIT
has-symbols	1.1.0	MIT
has-tostringtag	1.0.2	MIT
hasown	2.0.4	MIT
hast-util-from-dom	5.0.1	ISC
hast-util-from-html	2.0.3	MIT
hast-util-from-html-isomorphic	2.0.0	MIT
hast-util-from-parse5	8.0.3	MIT
hast-util-is-element	3.0.0	MIT
hast-util-parse-selector	4.0.0	MIT
hast-util-to-html	9.0.5	MIT
hast-util-to-jsx-runtime	2.3.6	MIT
hast-util-to-text	4.0.2	MIT
hast-util-whitespace	3.0.0	MIT
hastscript	9.0.1	MIT
hermes-estree	0.25.1	MIT
hermes-parser	0.25.1	MIT
highlight.js	11.12.0	BSD-3-Clause
html-encoding-sniffer	4.0.0	MIT
html-url-attributes	3.0.1	MIT
html-void-elements	3.0.0	MIT
http-proxy-agent	7.0.2	MIT
https-proxy-agent	7.0.6	MIT
iconv-lite	0.6.3	MIT
ignore	5.3.2	MIT
import-fresh	3.3.1	MIT
import-meta-resolve	4.2.0	MIT
imurmurhash	0.1.4	MIT
inline-style-parser	0.2.7	MIT
internmap	2.0.3	ISC
is-alphabetical	2.0.1	MIT
is-alphanumerical	2.0.1	MIT
is-decimal	2.0.1	MIT
is-extglob	2.1.1	MIT
is-glob	4.0.3	MIT
is-hexadecimal	2.0.1	MIT
is-plain-obj	4.1.0	MIT
is-potential-custom-element-name	1.0.1	MIT
isexe	2.0.0	ISC
jiti	2.7.0	MIT
js-tokens	4.0.0	MIT
js-yaml	4.3.2	MIT
jsdom	25.0.1	MIT
jsesc	3.1.0	MIT
json-buffer	3.0.1	MIT
json-schema-traverse	0.4.1	MIT
json-stable-stringify-without-jsonify	1.0.1	MIT
json5	2.2.3	MIT
katex	0.16.47	MIT
keyv	4.5.4	MIT
khroma	2.1.0	UNKNOWN
layout-base	1.0.2	MIT
levn	0.4.1	MIT
lightningcss	1.32.0	MPL-2.0
lightningcss-android-arm64	1.32.0	MPL-2.0
lightningcss-darwin-arm64	1.32.0	MPL-2.0
lightningcss-darwin-x64	1.32.0	MPL-2.0
lightningcss-freebsd-x64	1.32.0	MPL-2.0
lightningcss-linux-arm-gnueabihf	1.32.0	MPL-2.0
lightningcss-linux-arm64-gnu	1.32.0	MPL-2.0
lightningcss-linux-arm64-musl	1.32.0	MPL-2.0
lightningcss-linux-x64-gnu	1.32.0	MPL-2.0
lightningcss-linux-x64-musl	1.32.0	MPL-2.0
lightningcss-win32-arm64-msvc	1.32.0	MPL-2.0
lightningcss-win32-x64-msvc	1.32.0	MPL-2.0
locate-path	6.0.0	MIT
lodash-es	4.18.1	MIT
lodash.merge	4.6.2	MIT
longest-streak	3.1.0	MIT
loupe	3.2.1	MIT
lowlight	3.3.0	MIT
lowlight/node_modules/highlight.js	11.11.2	BSD-3-Clause
lru-cache	5.1.1	ISC
lucide-react	0.574.0	ISC
magic-string	0.30.21	MIT
markdown-table	3.0.4	MIT
marked	16.4.2	MIT
math-intrinsics	1.1.0	MIT
mdast-util-find-and-replace	3.0.2	MIT
mdast-util-find-and-replace/node_modules/escape-string-regexp	5.0.0	MIT
mdast-util-from-markdown	2.0.3	MIT
mdast-util-gfm	3.1.0	MIT
mdast-util-gfm-autolink-literal	2.0.1	MIT
mdast-util-gfm-footnote	2.1.0	MIT
mdast-util-gfm-strikethrough	2.0.0	MIT
mdast-util-gfm-table	2.0.0	MIT
mdast-util-gfm-task-list-item	2.0.0	MIT
mdast-util-math	3.0.0	MIT
mdast-util-mdx-expression	2.0.1	MIT
mdast-util-mdx-jsx	3.2.0	MIT
mdast-util-mdxjs-esm	2.0.1	MIT
mdast-util-phrasing	4.1.0	MIT
mdast-util-to-hast	13.2.1	MIT
mdast-util-to-markdown	2.1.2	MIT
mdast-util-to-string	4.0.0	MIT
mermaid	11.17.2	MIT
micromark	4.0.2	MIT
micromark-core-commonmark	2.0.3	MIT
micromark-extension-gfm	3.0.0	MIT
micromark-extension-gfm-autolink-literal	2.1.0	MIT
micromark-extension-gfm-footnote	2.1.0	MIT
micromark-extension-gfm-strikethrough	2.1.0	MIT
micromark-extension-gfm-table	2.1.1	MIT
micromark-extension-gfm-tagfilter	2.0.0	MIT
micromark-extension-gfm-task-list-item	2.1.0	MIT
micromark-extension-math	3.1.0	MIT
micromark-factory-destination	2.0.1	MIT
micromark-factory-label	2.0.1	MIT
micromark-factory-space	2.0.1	MIT
micromark-factory-title	2.0.1	MIT
micromark-factory-whitespace	2.0.1	MIT
micromark-util-character	2.1.1	MIT
micromark-util-chunked	2.0.1	MIT
micromark-util-classify-character	2.0.1	MIT
micromark-util-combine-extensions	2.0.1	MIT
micromark-util-decode-numeric-character-reference	2.0.2	MIT
micromark-util-decode-string	2.0.1	MIT
micromark-util-encode	2.0.1	MIT
micromark-util-html-tag-name	2.0.1	MIT
micromark-util-normalize-identifier	2.0.1	MIT
micromark-util-resolve-all	2.0.1	MIT
micromark-util-sanitize-uri	2.0.1	MIT
micromark-util-subtokenize	2.1.0	MIT
micromark-util-symbol	2.0.1	MIT
micromark-util-types	2.0.2	MIT
mime-db	1.52.0	MIT
mime-types	2.1.35	MIT
minimatch	3.1.5	ISC
motion-dom	12.43.0	MIT
motion-utils	12.39.0	MIT
ms	2.1.3	MIT
nanoid	3.3.18	MIT
natural-compare	1.4.0	MIT
node-releases	2.0.54	MIT
nwsapi	2.2.26	MIT
oniguruma-parser	0.12.2	MIT
oniguruma-to-es	4.3.6	MIT
optionator	0.9.4	MIT
p-limit	3.1.0	MIT
p-locate	5.0.0	MIT
package-manager-detector	1.8.0	MIT
parent-module	1.0.1	MIT
parse-entities	4.0.2	MIT
parse-entities/node_modules/@types/unist	2.0.11	MIT
parse5	7.3.0	MIT
path-data-parser	0.1.0	MIT
path-exists	4.0.0	MIT
path-key	3.1.1	MIT
pathe	2.0.3	MIT
pathval	2.0.1	MIT
picocolors	1.1.1	ISC
picomatch	4.0.7	MIT
points-on-curve	0.2.0	MIT
points-on-path	0.2.1	MIT
postcss	8.5.26	MIT
postcss-prefix-selector	2.1.1	MIT
postcss-selector-parser	6.0.10	MIT
postcss-value-parser	4.2.0	MIT
prelude-ls	1.2.1	MIT
property-information	7.2.0	MIT
punycode	2.3.1	MIT
react	19.2.8	MIT
react-dom	19.2.8	MIT
react-markdown	10.1.0	MIT
react-refresh	0.18.0	MIT
react-router	7.18.3	MIT
react-router-dom	7.18.3	MIT
regex	6.1.0	MIT
regex-recursion	6.0.2	MIT
regex-utilities	2.3.0	MIT
rehype-highlight	7.0.2	MIT
rehype-katex	7.0.1	MIT
remark-gfm	4.0.1	MIT
remark-math	6.0.0	MIT
remark-parse	11.0.0	MIT
remark-rehype	11.1.2	MIT
remark-stringify	11.0.0	MIT
resolve-from	4.0.0	MIT
robust-predicates	3.0.3	Unlicense
rollup	4.63.1	MIT
roughjs	4.6.6	MIT
rrweb-cssom	0.7.1	MIT
rw	1.3.3	BSD-3-Clause
safer-buffer	2.1.2	MIT
saxes	6.0.0	ISC
scheduler	0.27.0	MIT
semver	6.3.1	ISC
set-cookie-parser	2.7.2	MIT
shebang-command	2.0.0	MIT
shebang-regex	3.0.0	MIT
shiki	3.23.0	MIT
siginfo	2.0.0	ISC
source-map-js	1.2.1	BSD-3-Clause
space-separated-tokens	2.0.2	MIT
stackback	0.0.2	MIT
std-env	3.10.0	MIT
strictdom	1.0.1	MIT
stringify-entities	4.0.4	MIT
strip-json-comments	3.1.1	MIT
strip-literal	3.1.0	MIT
strip-literal/node_modules/js-tokens	9.0.1	MIT
style-mod	4.1.3	MIT
style-to-js	1.1.21	MIT
style-to-object	1.0.14	MIT
stylis	4.4.0	MIT
supports-color	7.2.0	MIT
symbol-tree	3.2.4	MIT
tailwind-merge	3.6.0	MIT
tailwindcss	4.3.3	MIT
tapable	2.3.3	MIT
tinybench	2.9.0	MIT
tinyexec	1.3.0	MIT
tinyglobby	0.2.17	MIT
tinypool	1.1.1	MIT
tinyrainbow	2.0.0	MIT
tinyspy	4.0.4	MIT
tldts	6.1.86	MIT
tldts-core	6.1.86	MIT
tough-cookie	5.1.2	BSD-3-Clause
tr46	5.1.1	MIT
trim-lines	3.0.1	MIT
trough	2.2.0	MIT
ts-dedent	2.3.0	MIT
tslib	2.8.1	0BSD
type-check	0.4.0	MIT
unified	11.0.5	MIT
unist-util-find-after	5.0.0	MIT
unist-util-is	6.0.1	MIT
unist-util-position	5.0.0	MIT
unist-util-remove-position	5.0.0	MIT
unist-util-stringify-position	4.0.0	MIT
unist-util-visit	5.1.0	MIT
unist-util-visit-parents	6.0.2	MIT
update-browserslist-db	1.3.2	MIT
uri-js	4.4.1	BSD-2-Clause
use-sync-external-store	1.6.0	MIT
util-deprecate	1.0.2	MIT
uuid	13.0.2	MIT
vfile	6.0.3	MIT
vfile-location	5.0.3	MIT
vfile-message	4.0.3	MIT
vite	7.3.6	MIT
vite-node	3.2.4	MIT
vitest	3.2.7	MIT
vitest/node_modules/tinyexec	0.3.2	MIT
w3c-keyname	2.2.8	MIT
w3c-xmlserializer	5.0.0	MIT
web-namespaces	2.0.1	MIT
webidl-conversions	7.0.0	BSD-2-Clause
whatwg-encoding	3.1.1	MIT
whatwg-mimetype	4.0.0	MIT
whatwg-url	14.2.0	MIT
which	2.0.2	ISC
why-is-node-running	2.3.0	MIT
word-wrap	1.2.5	MIT
ws	8.21.3	MIT
xml-name-validator	5.0.0	Apache-2.0
xmlchars	2.2.0	MIT
yallist	3.1.1	ISC
yocto-queue	0.1.0	MIT
zod	4.5.2	MIT
zod-validation-error	4.0.2	MIT
zundo	2.3.0	MIT
zustand	5.0.15	MIT
zwitch	2.0.4	MIT
